ids,names,popularity,followers,genres,first_release,last_release,num_releases,num_tracks,monthly_listeners
6jdC0EtYmY3QXcf5bejYGC,stephen geisler,32,1232,sad lo-fi,2022,2024,20,1,99522
6hzbZzkzaL8nzBWqiqUDzH,arkansas gospel mass choir,8,9830,praise,2009,2019,4,1,3692
66c2tF9f6BwERLfKVakDB9,pipedream,0,80," blues , metal , blues ",2021,2022,3,1,7
6JP6LrgvTOWrGZvgGOjCwM,bbc singers,16,1101,"british choir, chamber choir",2010,2023,20,28,9600
4kILdwom30L1UePQVuqBZ9,engulf,5,2084,"cavernous death metal, technical brutal death metal",2017,2024,6,2,1283
69RKgLXltPH1YMrxTC4bwj,g-35,9,935,norwegian country,1988,2022,16,2,2239
1c9NcjfOVo0pbO0QmeTsMM,lea longo,3,358,pop,2005,2017,6,1,612
01JG1AYyShIM4lsWGxdi1S,bonehammer,0,307," metal , punk , new wave ",2019,2023,7,2,64
0L71aC3Nv2rm28JRSklQEn,algaion,1,1335,"dark black metal, swedish black metal",1996,2010,3,4,209
2YkKzgHa7xT6aW8QaSsQMd,kitty kat,46,89033,"frauenrap, german hip hop",2009,2024,20,1,275023
0Wv4rL63SUfFpBFFvNZaUd,the dead friends club,0,208,punk,2021,2021,1,10,33
5qjsbSnuBPdr2cWMFQP8Tb,paul ritch,19,42785,"acid techno, deep minimal techno, french techno, minimal techno, techno",2013,2024,20,3,24581
3PUIxfK6P8boslOXGpZPoK,dennis mackrel,12,182,jazz,1996,2008,2,8,7853
4odBqe9WOqpaQWwokqQyyt,my parade,38,504,dance,2021,2024,10,1,271559
5oqFjXSyuqZ2SGcp2VxGt4,four letter word,0,159,deep orgcore,2009,2019,2,1,59
5nfMtMIv2UYUrrdCEPvh6f,who tf is justin time?,40,57303,"country rap, redneck",2017,2024,20,1,191115
4rriNpL1lxpoysDDctWgl3,jesse baez,56,167570,"guatemalan pop, r&b en espanol",2016,2024,20,1,2013297
2Y8cf4hYcaKmbLVhEOp2Ad,akelei,0,383,atmospheric doom,2010,2022,3,1,54
5zO858jAk9omSVmrOGtHh8,bunny phyoe,37,49186,burmese pop,2016,2024,19,1,55671
0fL3nn53Jlg7RK0cuciX6n,lem-x,23,2489,dark hardcore,2021,2023,20,1,36830
5KZ8bXnO1Q3nGWP2UqmQ3f,ralphie b,32,8239,"dutch trance, trance, uplifting trance",2022,2024,20,2,104900
5Ug7JSXgTpKhQ4AL8FaKYM,hilde hefte,15,565,norwegian jazz,1999,2023,8,1,12335
1lwjp3HkW6gREisFqZrj7S,sverre knut johansen,5,735,space ambient,2014,2024,20,9,1200
1OYppHNOuAIQ69SvpKPR5F,cathedrale,8,1576,"french garage rock, rock alternatif francais",2018,2024,8,1,3317
1brLDDFdq22GI8Kr34D7VT,couple coffee,2,615,musica brasiliense,2005,2015,5,16,311
3Gw2Nb0dglL7GTOYVuDs3F,marty goetz,22,7530,messianic praise,1992,2022,19,7,11339
1SnSPHBs8l5iAvoWF0aO05,fourty,57,64957,"german hip hop, german r&b, german trap",2020,2024,20,1,2143550
6EkOSKBacIizwuFxqNqBbr,calle 8,26,6315,pop costarricense,1999,2023,5,1,23712
